Grid case,Wind speed [m/s],Turbulence intensity,"CD,0","CD,0’","CL,0","CL,0’","CM,0","CM,0’"
Clean,4.8,0.02,1.27,0.75,−0.21,2.49,−0.02,0.68
Clean,6.9,0.02,1.23,0.34,−0.24,2.56,−0.03,0.7
Clean,9.1,0.01,1.21,0.17,−0.25,2.68,−0.03,0.72
Clean,11.1,0.01,1.2,0.24,−0.25,2.71,−0.03,0.8
Grid case 1,4.6,0.1,1.23,0.03,−0.24,2.51,−0.03,0.62
Grid case 1,6.9,0.1,1.21,−0.76,−0.24,2.6,−0.03,0.64
Grid case 1,9.1,0.11,1.23,−0.75,−0.24,2.65,−0.03,0.65
Grid case 1,10.7,0.11,1.23,−0.45,−0.23,2.63,−0.03,0.65
Grid case 2,4.7,0.16,1.26,−0.14,−0.23,2.67,−0.03,0.64
Grid case 2,6.8,0.16,1.23,−0.13,−0.23,2.51,−0.03,0.61
Grid case 2,9.2,0.16,1.22,−0.64,−0.23,2.47,−0.03,0.6
Grid case 2,10.7,0.17,1.25,−1.12,−0.23,2.6,−0.03,0.63
